name,address_text,status,latitude,longitude,created_at,updated_at
luqman - Departmental Store,sondip,active,22.2953412,91.780389,2026-03-03T08:38:22.334414+00:00,2026-03-03T08:38:22.334414+00:00
johir - Grocery,sondip,active,22.3247855,91.8197179,2026-03-03T08:38:22.334414+00:00,2026-03-03T08:38:22.334414+00:00
maa store - Canteen,sondip,active,22.287959,91.7904915,2026-03-03T08:38:22.334414+00:00,2026-03-03T08:38:22.334414+00:00
Hassan - Confectionery,complex,active,22.2879456,91.790505,2026-03-03T08:38:22.334414+00:00,2026-03-03T08:38:22.334414+00:00
AS store - Grocery,sainer heart,active,22.2824918,91.7819281,2026-03-03T08:38:22.334414+00:00,2026-03-03T08:38:22.334414+00:00
S alam store - Canteen,musapur,active,22.2824978,91.7819851,2026-03-03T08:38:22.334414+00:00,2026-03-03T08:38:22.334414+00:00
Hassan store - Tea Stall,baroliya,active,22.2825066,91.7819636,2026-03-03T08:38:22.334414+00:00,2026-03-03T08:38:22.334414+00:00
maa store - Tea Stall,nadirhat,active,22.2824984,91.7819817,2026-03-03T08:38:22.334414+00:00,2026-03-03T08:38:22.334414+00:00
shah amanat - Grocery,nadirhat,active,22.2825152,91.7820116,2026-03-03T08:38:22.334414+00:00,2026-03-03T08:38:22.334414+00:00
alama - Canteen,nazied,active,22.2825211,91.7821196,2026-03-03T08:38:22.334414+00:00,2026-03-03T08:38:22.334414+00:00
9 store - Departmental Store,Sandeep,active,22.2600012,91.7915066,2026-03-03T08:38:22.334414+00:00,2026-03-03T08:38:22.334414+00:00
maa - Canteen,sondip,active,22.4838839,91.4366261,2026-03-03T08:38:22.334414+00:00,2026-03-03T08:38:22.334414+00:00
rohim - Tea Stall,sanahay,active,22.4838727,91.4366545,2026-03-03T08:38:22.334414+00:00,2026-03-03T08:38:22.334414+00:00
hello Mr - Canteen,musapur,active,22.2825007,91.7819211,2026-03-03T08:38:22.334414+00:00,2026-03-03T08:38:22.334414+00:00
rohim store - Departmental Store,sondip,active,22.3275463,91.8127364,2026-03-03T08:38:22.334414+00:00,2026-03-03T08:38:22.334414+00:00
maa store - Departmental Store,Akbar hot,active,23.7700621,90.4047912,2026-03-03T08:38:22.334414+00:00,2026-03-03T08:38:22.334414+00:00
