retailerName,channelType,addressInEnglish,location.lat,location.long,status,isDeleted,createdAt,updatedAt
luqman,Departmental Store,sondip ,22.2953412,91.780389,active,false,,
johir,Grocery,sondip ,22.3247855,91.8197179,active,false,,
maa store,Canteen,sondip ,22.287959,91.7904915,active,false,,
Hassan,Confectionery,complex ,22.2879456,91.790505,active,false,,
AS store,Grocery,sainer heart ,22.2824918,91.7819281,active,false,,
S alam store,Canteen,musapur ,22.2824978,91.7819851,active,false,,
Hassan store,Tea Stall,baroliya ,22.2825066,91.7819636,active,false,,
maa store,Tea Stall,nadirhat ,22.2824984,91.7819817,active,false,,
shah amanat,Grocery,nadirhat ,22.2825152,91.7820116,active,false,,
alama,Canteen,nazied ,22.2825211,91.7821196,active,false,,
9 store,Departmental Store,Sandeep ,22.2600012,91.7915066,active,false,,
maa,Canteen,sondip ,22.4838839,91.4366261,active,false,,
rohim,Tea Stall,sanahay ,22.4838727,91.4366545,active,false,,
hello Mr,Canteen,musapur ,22.2825007,91.7819211,active,false,,
rohim store,Departmental Store,sondip ,22.3275463,91.8127364,active,false,,
maa store,Departmental Store,Akbar hot ,23.7700621,90.4047912,active,false,,
man baba Dua,Departmental Store,complex ,22.2825058,91.7819693,active,false,,
rohi mister,Confectionery,complex ,22.2490577,91.8184928,active,false,,
navabhatta,Grocery,dinong site ,22.2490691,91.818455,active,false,,
Al Madina,Departmental Store,sondip ,22.248837,91.8184572,active,false,,
marduva store,Grocery,thala paniya ,22.2712408,91.7872651,active,false,,
master,Grocery,guptesara,22.2833248,91.7847372,active,false,,
Kamal store,Confectionery,saina hot,22.2833793,91.7846897,active,false,,
mahabharat Dua,Tea Stall,sondip,22.2834175,91.7847242,active,false,,
maa store,Library,12 non Union,22.2868457,91.7897685,active,false,,
bola store,Grocery,sondip,22.291034,91.7870879,active,false,,
mamuni,Departmental Store,musafir,22.2910405,91.7870873,active,false,,
maa store,Grocery,sondip,23.7700384,90.4047869,active,false,,
Anwar store,Departmental Store,farishpur,22.24592,91.7843523,active,false,,
maa store,Grocery,sondip,22.2870999,91.7904717,active,false,,
Khalil,Departmental Store,complex,22.2870963,91.7905616,active,false,,
Hassan store,Tea Stall,gausiya,22.2870711,91.7905083,active,false,,
Bhai Bhai,Canteen,nazirat,22.2870895,91.7904801,active,false,,
maa store,Departmental Store,complex,22.2841524,91.7821649,active,false,,
Hassan,Grocery,sondip,22.2841862,91.7821622,active,false,,
Samantha,Canteen,katghar,22.2841554,91.7821767,active,false,,
Alister,Grocery,gausiya,22.2953384,91.7803634,active,false,,
motion store,Departmental Store,sondip,22.2954969,91.7803713,active,false,,
maa,Tea Stall,complex,22.3010788,91.7833734,active,false,,
D s,Grocery,Sainath,22.3010715,91.7833699,active,false,,
nawab Dua,Departmental Store,Kala paniya,22.3006559,91.7885701,active,false,,
Alisha,Tea Stall,sondip,23.7700402,90.404765,active,false,,
Hassan store,Grocery,gausiya market,22.2880153,91.7835202,active,false,,
maa store,Confectionery,centre,23.7700398,90.4047324,active,false,,
Amena store,Departmental Store,centres,23.7700597,90.4047684,active,false,,
Rahim Hotel,Pharmacy,centres,23.7700143,90.4047449,active,false,,
Adnan,Pharmacy,centre,23.7700471,90.4047333,active,false,,
Tanvir Botherir,Wholesale Store,centres,23.7700336,90.4046799,active,false,,
Kanta,Tea Stall,centre,23.7700633,90.4047342,active,false,,
maa store,Departmental Store,sondip,23.7700609,90.4047558,active,false,,
